,Title,Sales,Platform,Date,Genre
0, Halo Wars 2,0.51m,XOne,21st Feb 17  ,Strategy
1, Culdcept,0.29m,3DS,03rd Oct 17  ,Strategy
2, Sid Meier's Civilization VI,0.25m,NS,16th Nov 18  ,Strategy
3, Valkyria Chronicles 4,0.19m,NS,25th Sep 18  ,Strategy
5, Super Robot Wars X,0.13m,PS4,29th Mar 18  ,Strategy
6, Constructor HD,0.11m,PS4,11th Jul 17  ,Strategy
7, Sudden Strike 4,0.10m,PS4,15th Aug 17  ,Strategy
8, Culdcept Revolt,0.07m,3DS,03rd Oct 17  ,Strategy
9, The Banner Saga Trilogy - Bonus Edition,0.07m,PS4,27th Jul 18  ,Strategy
10, Constructor HD,0.07m,XOne,11th Jul 17  ,Strategy
11, Super Robot Wars X,0.07m,PSV,29th Mar 18  ,Strategy
12, Nobunaga's Ambition: Taishi,0.06m,PS4,05th Jun 18  ,Strategy
13, Aven Colony,0.06m,XOne,01st Aug 17  ,Strategy
14, Aven Colony,0.06m,PS4,01st Aug 17  ,Strategy
15, The Banner Saga Trilogy - Bonus Edition,0.05m,XOne,27th Jul 18  ,Strategy
16, Dungeons 3,0.04m,PS4,17th Oct 17  ,Strategy
17, SD Gundam G Generation Genesis,0.04m,NS,26th Apr 18  ,Strategy
18," Warhammer 40,000: Dawn of War III",0.04m,PC,27th Apr 17  ,Strategy
19, Shadow Tactics: Blades of the Shogun,0.04m,PS4,01st Aug 17  ,Strategy
20, 8-Bit Armies,0.03m,PS4,21st Sep 18  ,Strategy
21, Future Card Buddyfight Mezase! Buddy Champion!,0.03m,3DS,16th Mar 17  ,Strategy
22, 8-Bit Armies,0.03m,XOne,21st Sep 18  ,Strategy
23, Dynasty Warriors: Godseekers,0.03m,PS4,31st Jan 17  ,Strategy
24, Nobunaga's Ambition: Sphere of Influence with Power-Up Kit,0.03m,NS,03rd Mar 17  ,Strategy
25, Blackguards 2,0.03m,PS4,12th Sep 17  ,Strategy
26, Dynasty Warriors: Godseekers,0.03m,PSV,31st Jan 17  ,Strategy
27, God Wars The Complete Legend,0.03m,NS,04th Sep 18  ,Strategy
28, Sudden Strike 4,0.02m,XOne,26th Jun 18  ,Strategy
29, Space Hulk Tactics,0.02m,PS4,09th Oct 18  ,Strategy
30, This Is the Police 2,0.02m,PS4,25th Sep 18  ,Strategy
31,  No Heroes Allowed! VR,0.02m,PS4,17th Oct 17  ,Strategy
32, ArmaGallant: Decks of Destiny,0.02m,PS4,04th Apr 17  ,Strategy
33, Armello,0.02m,PS4,13th Mar 18  ,Strategy
34, This Is the Police 2,0.02m,XOne,25th Sep 18  ,Strategy
35, Space Hulk Tactics,0.02m,XOne,09th Oct 18  ,Strategy
36, Halo Wars 2,0.02m,PC,21st Feb 17  ,Strategy
37, Dungeons 3,0.02m,XOne,17th Oct 17  ,Strategy
38, Blackguards 2,0.02m,XOne,19th Sep 17  ,Strategy
39, Future Card Buddyfight: Tanjou! Oretachi no Saikyou Body!,0.02m,3DS,15th Mar 18  ,Strategy
40, Lock's Quest,0.02m,XOne,30th May 17  ,Strategy
41, Tokyo Tattoo Girls,0.02m,PSV,14th Nov 17  ,Strategy
42, Nobunaga's Ambition: Taishi,0.01m,NS,30th Nov 17  ,Strategy
43, Hakoniwa Company Works,0.01m,PS4,13th Jul 17  ,Strategy
44, Shadow Tactics: Blades of the Shogun,0.01m,XOne,01st Aug 17  ,Strategy
45, Mercenaries Saga Chronicles,0.01m,NS,11th Sep 18  ,Strategy
46, This Is the Police 2,0.01m,NS,25th Sep 18  ,Strategy
47, Jagged Alliance: Rage!,0.01m,PS4,07th Dec 18  ,Strategy
48, Lock's Quest,0.01m,PS4,30th May 17  ,Strategy
49, Jagged Alliance: Rage!,0.01m,XOne,07th Dec 18  ,Strategy
50, Valhalla Hills: Definitive Edition,0.01m,PS4,25th Apr 17  ,Strategy
51, Valhalla Hills: Definitive Edition,0.00m,XOne,25th Apr 17  ,Strategy
52, FIFA 18,11.80m,PS4,29th Sep 17  ,Sports
53, FIFA 19,9.15m,PS4,28th Sep 18  ,Sports
54, NBA 2K18,3.34m,PS4,19th Sep 17  ,Sports
55, FIFA 18,3.14m,XOne,29th Sep 17  ,Sports
56, NBA 2K19,2.63m,PS4,11th Sep 18  ,Sports
57, Madden NFL 18,2.62m,PS4,25th Aug 17  ,Sports
58, FIFA 19,2.22m,XOne,28th Sep 18  ,Sports
59, Madden NFL 19,2.21m,PS4,10th Aug 18  ,Sports
60, NBA 2K18,2.02m,XOne,19th Sep 17  ,Sports
61, Madden NFL 18,1.91m,XOne,25th Aug 17  ,Sports
62, NBA 2K19,1.74m,XOne,11th Sep 18  ,Sports
63, Madden NFL 19,1.51m,XOne,10th Aug 18  ,Sports
64, WWE 2K18,1.33m,PS4,17th Oct 17  ,Sports
65, MLB The Show 17,1.16m,PS4,28th Mar 17  ,Sports
66, FIFA 18,1.10m,NS,29th Sep 17  ,Sports
67, MLB The Show 18,1.06m,PS4,27th Mar 18  ,Sports
68, EA Sports UFC 3,0.97m,PS4,02nd Feb 18  ,Sports
69, Pro Evolution Soccer 2018,0.75m,PS4,12th Sep 17  ,Sports
70, FIFA 19,0.75m,NS,28th Sep 18  ,Sports
71, WWE 2K18,0.66m,XOne,17th Oct 17  ,Sports
72, NHL 18,0.57m,PS4,15th Sep 17  ,Sports
73, Everybody's Golf,0.56m,PS4,29th Aug 17  ,Sports
74, FIFA 18,0.54m,PS3,29th Sep 17  ,Sports
75, Pro Evolution Soccer 2019,0.50m,PS4,28th Aug 18  ,Sports
76, Mario Sports Superstars,0.46m,3DS,24th Mar 17  ,Sports
77, EA Sports UFC 3,0.44m,XOne,02nd Feb 18  ,Sports
78, NBA 2K18,0.43m,NS,19th Sep 17  ,Sports
79, NHL 19,0.43m,PS4,14th Sep 18  ,Sports
80, Rocket League,0.40m,NS,16th Jan 18  ,Sports
81, NHL 18,0.39m,XOne,15th Sep 17  ,Sports
82, NBA 2K19,0.30m,NS,11th Sep 18  ,Sports
83, NHL 19,0.29m,XOne,14th Sep 18  ,Sports
84, FIFA 18,0.26m,X360,29th Sep 17  ,Sports
85, Jikkyou Powerful Pro Baseball 2018,0.26m,PS4,26th Apr 18  ,Sports
86, NBA Live 18,0.24m,PS4,15th Sep 17  ,Sports
87, WWE 2K18,0.23m,NS,05th Dec 17  ,Sports
88, NBA Live 18,0.21m,XOne,15th Sep 17  ,Sports
89, NBA Live 19,0.19m,PS4,07th Sep 18  ,Sports
90, Creed: Rise to Glory,0.19m,PS4,25th Sep 18  ,Sports
91, Sports Party,0.17m,NS,30th Oct 18  ,Sports
92, NBA Live 19,0.15m,XOne,07th Sep 18  ,Sports
93, NBA 2K Playgrounds 2,0.14m,NS,09th Nov 18  ,Sports
94, R.B.I. Baseball 18,0.13m,XOne,20th Mar 18  ,Sports
95, Pro Baseball Famista Climax,0.13m,3DS,20th Apr 17  ,Sports
96, R.B.I. Baseball 18,0.13m,NS,20th Mar 18  ,Sports
97, Golf Club 2,0.13m,PS4,27th Jun 17  ,Sports
98, Pro Yakyuu Famista Evolution,0.12m,NS,02nd Aug 18  ,Sports
99, Jikkyou Powerful Pro Baseball 2018,0.12m,PSV,26th Apr 18  ,Sports
100, Pro Evolution Soccer 2018,0.12m,XOne,12th Sep 17  ,Sports
101, NBA 2K18,0.11m,X360,19th Sep 17  ,Sports
102, Rugby League Live 4,0.09m,PS4,28th Jul 17  ,Sports
103, Pro Evolution Soccer 2018,0.09m,PS3,12th Sep 17  ,Sports
104, NBA 2K18,0.09m,PS3,19th Sep 17  ,Sports
105, Mutant Football League: Dynasty Edition,0.09m,NS,30th Oct 18  ,Sports
106, FIFA 18,0.08m,PC,29th Sep 17  ,Sports
107, R.B.I. Baseball 2017,0.08m,NS,05th Sep 17  ,Sports
108, NBA 2K Playgrounds 2,0.08m,PS4,16th Oct 18  ,Sports
109, R.B.I. Baseball 18,0.07m,PS4,20th Mar 18  ,Sports
110, Mutant Football League: Dynasty Edition,0.07m,PS4,30th Oct 18  ,Sports
111, R.B.I. Baseball 2017,0.07m,XOne,28th Mar 17  ,Sports
112, FIFA 19,0.06m,X360,28th Sep 18  ,Sports
113, Rugby 18,0.06m,PS4,24th Oct 17  ,Sports
114, Golf Club 2019,0.06m,PS4,13th Nov 18  ,Sports
115, NBA 2K Playgrounds 2,0.06m,XOne,16th Oct 18  ,Sports
116, Golf Club 2,0.06m,XOne,27th Jun 17  ,Sports
117, Pro Evolution Soccer 2019,0.05m,XOne,28th Aug 18  ,Sports
118, Golf Club 2019,0.05m,XOne,13th Nov 18  ,Sports
119, Rugby 18,0.05m,XOne,24th Oct 17  ,Sports
120, Ashes Cricket,0.05m,XOne,16th Nov 17  ,Sports
121, 8 to Glory: The Official Game of the PBR,0.04m,PS4,30th Oct 18  ,Sports
122, Mutant Football League: Dynasty Edition,0.04m,XOne,30th Oct 18  ,Sports
123, Tennis World Tour,0.04m,PS4,22nd May 18  ,Sports
124, FIFA 19,0.04m,PS3,28th Sep 18  ,Sports
125, R.B.I. Baseball 2017,0.04m,PS4,28th Mar 17  ,Sports
126, Tennis World Tour,0.04m,XOne,22nd May 18  ,Sports
127, Pro Evolution Soccer 2018,0.03m,X360,12th Sep 17  ,Sports
128, Legendary Fishing,0.03m,PS4,18th Sep 18  ,Sports
129, Rugby League Live 4,0.02m,XOne,28th Jul 17  ,Sports
130, 8 to Glory: The Official Game of the PBR,0.02m,XOne,30th Oct 18  ,Sports
131, Winning Post 8 2018,0.02m,PS4,15th Mar 18  ,Sports
132, Crayola Scoot,0.02m,PS4,16th Oct 18  ,Sports
133, Tennis World Tour,0.02m,NS,10th Jul 18  ,Sports
134, Crayola Scoot,0.02m,XOne,16th Oct 18  ,Sports
135, Pro Evolution Soccer 2018,0.01m,PC,12th Sep 17  ,Sports
136, Crayola Scoot,0.01m,NS,16th Oct 18  ,Sports
137, Winning Post 8 2018,0.01m,NS,15th Mar 18  ,Sports
138, Winning Post 8 2018,0.01m,PSV,15th Mar 18  ,Sports
139, Legendary Fishing,0.01m,NS,18th Sep 18  ,Sports
140, The Sims 4,1.39m,PS4,17th Nov 17  ,Simulation
141, The Sims 4,0.73m,XOne,17th Nov 17  ,Simulation
142, Farming Simulator 19,0.58m,PC,20th Nov 18  ,Simulation
143, Story of Seasons: Trio of Towns,0.49m,3DS,28th Feb 17  ,Simulation
144, Jurassic World Evolution,0.47m,PS4,03rd Jul 18  ,Simulation
145, Farming Simulator 19,0.47m,PS4,20th Nov 18  ,Simulation
146, Style Savvy: Styling Star,0.45m,3DS,25th Dec 17  ,Simulation
147, Farming Simulator 19,0.32m,XOne,20th Nov 18  ,Simulation
148, Cities: Skylines,0.30m,PS4,15th Aug 17  ,Simulation
150, Overcooked! 2,0.29m,NS,07th Aug 18  ,Simulation
151, Spintires: MudRunner,0.28m,PS4,31st Oct 17  ,Simulation
152, Jurassic World Evolution,0.26m,XOne,03rd Jul 18  ,Simulation
153, The Sims 4: Cats & Dogs,0.21m,PC,10th Nov 17  ,Simulation
154, Elite: Dangerous,0.19m,PS4,27th Jun 17  ,Simulation
155, Cities: Skylines,0.18m,XOne,21st Apr 17  ,Simulation
156, Harvest Moon: Light of Hope,0.17m,NS,29th May 18  ,Simulation
157, Overcooked! 2,0.16m,PS4,07th Aug 18  ,Simulation
158, Spintires: MudRunner,0.15m,XOne,31st Oct 17  ,Simulation
159, Little Dragons Café,0.13m,NS,24th Aug 18  ,Simulation
160, Farming Simulator 17,0.13m,NS,07th Nov 17  ,Simulation
161, Farming Simulator 18,0.12m,3DS,06th Jun 17  ,Simulation
162, Job Simulator,0.12m,PS4,17th Apr 17  ,Simulation
163, Overcooked Special Edition,0.11m,NS,13th Feb 18  ,Simulation
164, Football Manager 2019,0.11m,PC,02nd Nov 18  ,Simulation
165, Slime Rancher,0.10m,PS4,04th Sep 18  ,Simulation
166, Stardew Valley,0.10m,PS4,11th Apr 17  ,Simulation
167, Zone of the Enders: The 2nd Runner MARS,0.10m,PS4,04th Sep 18  ,Simulation
168, Real Farm,0.10m,XOne,27th Oct 17  ,Simulation
169, Slime Rancher,0.10m,XOne,04th Sep 18  ,Simulation
170, Train Sim World,0.09m,PS4,24th Jul 18  ,Simulation
171, Elite: Dangerous,0.08m,XOne,27th Jun 17  ,Simulation
172, Rapala Fishing Pro Series,0.08m,PS4,24th Oct 17  ,Simulation
173, Overcooked! 2,0.08m,XOne,07th Aug 18  ,Simulation
174, Rick & Morty Virtual Rick-Ality,0.08m,PS4,24th Apr 18  ,Simulation
175, Harvest Moon: Light of Hope,0.07m,PS4,29th May 18  ,Simulation
176, Bass Pro Shops: The Strike - Championship Edition,0.07m,NS,09th Nov 18  ,Simulation
177, Cabela's The Hunt: Championship Edition Bundle,0.07m,NS,09th Nov 18  ,Simulation
178, Cooking Mama: Sweet Shop,0.07m,3DS,16th May 17  ,Simulation
179, Le Tour de France 2017,0.07m,PS4,15th Jun 17  ,Simulation
180, The Sims 4: Get Famous,0.06m,PC,16th Nov 18  ,Simulation
181, X-Plane 11,0.06m,PC,06th Apr 17  ,Simulation
182, Rapala Fishing Pro Series,0.06m,XOne,24th Oct 17  ,Simulation
183, The Sims 4 Seasons,0.05m,PC,22nd Jun 18  ,Simulation
184, The Long Dark,0.05m,XOne,04th Sep 18  ,Simulation
185, Period Cube ~Shackles of Amadeus~,0.05m,PSV,28th Apr 17  ,Simulation
186, The Long Dark,0.05m,PS4,04th Sep 18  ,Simulation
187, Little Dragons Café,0.05m,PS4,24th Aug 18  ,Simulation
188, Real Farm,0.05m,PS4,27th Oct 17  ,Simulation
189, My Riding Stables: Life with Horses,0.05m,NS,13th Nov 18  ,Simulation
190, Fishing Sim World,0.05m,PS4,18th Sep 18  ,Simulation
191, Surviving Mars,0.05m,XOne,15th Mar 18  ,Simulation
192, Fishing Sim World,0.05m,XOne,18th Sep 18  ,Simulation
193, The Settlers History Collection,0.04m,PC,15th Nov 18  ,Simulation
194, Pure Farming 2018,0.04m,PS4,13th Mar 18  ,Simulation
195, Air Conflicts: Secret Wars,0.04m,PS4,04th Apr 17  ,Simulation
196, My Riding Stables: Life with Horses,0.04m,PS4,13th Nov 18  ,Simulation
197, Surviving Mars,0.04m,PS4,15th Mar 18  ,Simulation
198, Farming Simulator 17: Straw Harvest,0.04m,PC,30th Nov 17  ,Simulation
199, Kawaii Pet to Kurasou! Wan Nyan & Mini Mini Animal,0.04m,3DS,06th Apr 17  ,Simulation
200, Railway Empire,0.03m,XOne,30th Jan 18  ,Simulation
201, Pure Farming 2018,0.03m,XOne,13th Mar 18  ,Simulation
202, Railway Empire,0.03m,PS4,30th Jan 18  ,Simulation
203, Train Sim World,0.03m,XOne,24th Jul 18  ,Simulation
204, Stardew Valley,0.03m,XOne,11th Apr 17  ,Simulation
205, Bridge Constructor Portal,0.03m,PS4,28th Aug 18  ,Simulation
206, Air Missions: Hind,0.03m,PS4,09th Oct 18  ,Simulation
207, Cats Together,0.02m,NS,01st Nov 18  ,Simulation
208, Cats Together,0.02m,3DS,21st Nov 18  ,Simulation
209, Gal Gun 2,0.02m,NS,24th Apr 18  ,Simulation
210, This Is The Police,0.02m,PS4,22nd Mar 17  ,Simulation
211, A-Train Exp.,0.02m,PS4,21st Dec 17  ,Simulation
212, Project Highrise: Architect's Edition,0.02m,PS4,13th Nov 18  ,Simulation
213, Project Highrise: Architect's Edition,0.02m,NS,13th Nov 18  ,Simulation
214, Tour de France 2018,0.02m,PS4,28th Jun 18  ,Simulation
215, Le Tour de France 2017,0.02m,XOne,15th Jun 17  ,Simulation
216, Rapala Fishing Pro Series,0.02m,NS,16th Oct 18  ,Simulation
217, Motorsport Manager (2017),0.02m,PC,27th Mar 17  ,Simulation
218, Project Highrise: Architect's Edition,0.01m,XOne,13th Nov 18  ,Simulation
219, Le Tour de France 2017,0.01m,PC,15th Jun 17  ,Simulation
220, Gal Gun 2,0.01m,PS4,24th Apr 18  ,Simulation
221, Champion Jockey Special,0.01m,NS,14th Sep 17  ,Simulation
222, Farming Simulator 18,0.01m,PSV,06th Jun 17  ,Simulation
223, Neo Atlas 1469,0.01m,NS,19th Apr 18  ,Simulation
224, Happy Manager: Shiawase Zhuang no Kanrinin San,0.01m,PS4,11th Jan 18  ,Simulation
225, Farming Simulator 17: Big Bud,0.01m,PC,09th May 17  ,Simulation
226, This Is The Police,0.01m,XOne,22nd Mar 17  ,Simulation
227, Pure Farming 2018,0.00m,PC,13th Mar 18  ,Simulation
228, Railway Empire,0.00m,PC,30th Jan 18  ,Simulation
229, This is the Police,0.00m,NS,05th Dec 17  ,Simulation
230, Pro Cycling Manager 2018,0.00m,PC,28th Jun 18  ,Simulation
231, Call of Duty: WWII,13.40m,PS4,03rd Nov 17  ,Shooter
232, Call of Duty: Black Ops IIII,9.32m,PS4,12th Oct 18  ,Shooter
233, Call of Duty: WWII,6.23m,XOne,03rd Nov 17  ,Shooter
234, Call of Duty: Black Ops IIII,4.85m,XOne,12th Oct 18  ,Shooter
235, Star Wars Battlefront II (2017),4.53m,PS4,17th Nov 17  ,Shooter
236, Destiny 2,4.14m,PS4,06th Sep 17  ,Shooter
237, Tom Clancy's Ghost Recon Wildlands,3.12m,PS4,07th Mar 17  ,Shooter
238, Destiny 2,2.35m,XOne,06th Sep 17  ,Shooter
239, Battlefield V,2.22m,PS4,20th Nov 18  ,Shooter
240, PlayerUnknown's Battlegrounds,2.17m,XOne,12th Dec 17  ,Shooter
241, Star Wars Battlefront II (2017),1.92m,XOne,17th Nov 17  ,Shooter
242, Tom Clancy's Ghost Recon Wildlands,1.61m,XOne,07th Mar 17  ,Shooter
243, Battlefield V,1.55m,XOne,20th Nov 18  ,Shooter
244, Wolfenstein II: The New Colossus,1.36m,PS4,27th Oct 17  ,Shooter
245, Prey (2017),1.04m,PS4,05th May 17  ,Shooter
246, Wolfenstein II: The New Colossus,0.70m,XOne,27th Oct 17  ,Shooter
247, Fortnite,0.69m,NS,16th Nov 18  ,Shooter
248, Call of Duty: Modern Warfare Remastered,0.58m,PS4,27th Jun 17  ,Shooter
249, DOOM VFR,0.56m,PS4,01st Dec 17  ,Shooter
250, Sniper Elite 4,0.55m,PS4,14th Feb 17  ,Shooter
251, Farpoint,0.48m,PS4,16th May 17  ,Shooter
252, Prey (2017),0.45m,XOne,05th May 17  ,Shooter
253, Doom (2016),0.43m,NS,10th Nov 17  ,Shooter
254, Firewall: Zero Hour,0.37m,PS4,29th Aug 18  ,Shooter
255, Destiny 2: Forsaken,0.36m,PS4,04th Sep 18  ,Shooter
256, Sniper: Ghost Warrior 3,0.36m,PS4,25th Apr 17  ,Shooter
257, PlayerUnknown's Battlegrounds,0.33m,PS4,07th Dec 18  ,Shooter
258, Sniper Elite 4,0.30m,XOne,14th Feb 17  ,Shooter
259, Bravo Team,0.27m,PS4,06th Mar 18  ,Shooter
260, Call of Duty: Modern Warfare Remastered,0.24m,XOne,27th Jul 17  ,Shooter
261, theHunter: Call of the Wild,0.24m,PS4,02nd Oct 17  ,Shooter
262, theHunter: Call of the Wild,0.21m,XOne,02nd Oct 17  ,Shooter
263, Call of Duty: WWII,0.19m,PC,03rd Nov 17  ,Shooter
264, Sniper: Ghost Warrior 3,0.18m,XOne,25th Apr 17  ,Shooter
265, Destiny 2,0.16m,PC,23rd Oct 17  ,Shooter
266, Destiny 2: Forsaken,0.13m,XOne,04th Sep 18  ,Shooter
267, Call of Duty: Black Ops IIII,0.13m,PC,12th Oct 18  ,Shooter
268, Bulletstorm: Full Clip Edition,0.13m,PS4,07th Apr 17  ,Shooter
269, Wolfenstein The Two Pack,0.12m,XOne,22nd Aug 17  ,Shooter
270, Payday 2,0.12m,NS,27th Feb 18  ,Shooter
271, Wolfenstein II: The New Colossus,0.11m,NS,29th Jun 18  ,Shooter
272, Wolfenstein The Two Pack,0.10m,PS4,22nd Aug 17  ,Shooter
273, Battlefield V,0.10m,PC,20th Nov 18  ,Shooter
274,  Red Faction: Guerrilla Re-Mars-tered,0.09m,PS4,03rd Jul 18  ,Shooter
275, Borderlands 2 VR,0.09m,PS4,14th Dec 18  ,Shooter
276, Strange Brigade,0.09m,PS4,28th Aug 18  ,Shooter
277, Bulletstorm: Full Clip Edition,0.08m,XOne,07th Apr 17  ,Shooter
278, Wild Guns Reloaded,0.07m,NS,17th Apr 18  ,Shooter
279, Hunting Simulator,0.07m,PS4,11th Jul 17  ,Shooter
280, Touhou Kobuto V: Burst Battle,0.06m,NS,10th Oct 17  ,Shooter
281, Killing Floor 2,0.06m,XOne,29th Aug 17  ,Shooter
282, Hunting Simulator,0.06m,XOne,11th Jul 17  ,Shooter
283, Starblood Arena,0.05m,PS4,11th Apr 17  ,Shooter
284, Strange Brigade,0.05m,XOne,28th Aug 18  ,Shooter
285, Star Wars Battlefront II (2017),0.05m,PC,17th Nov 17  ,Shooter
286,  Red Faction: Guerrilla Re-Mars-tered,0.05m,XOne,03rd Jul 18  ,Shooter
287, Dead Alliance,0.04m,PS4,29th Aug 17  ,Shooter
288, Deer Hunter Reloaded,0.04m,PS4,24th Oct 17  ,Shooter
289, Raid: World War II,0.04m,PS4,10th Oct 17  ,Shooter
290, Deer Hunter Reloaded,0.04m,XOne,24th Oct 17  ,Shooter
291, Tom Clancy's Ghost Recon Wildlands,0.04m,PC,07th Mar 17  ,Shooter
292, Black Clover: Quartet Knights,0.04m,PS4,14th Sep 18  ,Shooter
293, Danganronpa Another Episode: Ultra Despair Girls,0.04m,PS4,27th Jun 17  ,Shooter
294, Dead Alliance,0.04m,XOne,29th Aug 17  ,Shooter
295, Operation Warcade,0.04m,PS4,04th Sep 18  ,Shooter
296, Raid: World War II,0.03m,XOne,10th Oct 17  ,Shooter
297, Touhou Kobuto V: Burst Battle,0.03m,PS4,10th Oct 17  ,Shooter
298, Big Buck Hunter Arcade,0.02m,PS4,17th Jan 17  ,Shooter
299, Hunting Simulator,0.02m,NS,10th Jul 18  ,Shooter
300, Destiny 2: Forsaken,0.02m,PC,04th Sep 18  ,Shooter
301, Rogue Trooper Redux,0.02m,XOne,17th Oct 17  ,Shooter
302, Rogue Trooper Redux,0.02m,PS4,17th Oct 17  ,Shooter
303, Space Hulk: Deathwing,0.02m,PS4,05th Dec 17  ,Shooter
304, Tempest 4000,0.01m,XOne,27th Jul 18  ,Shooter
305, Big Buck Hunter Arcade,0.01m,NS,16th Oct 18  ,Shooter
306, Tempest 4000,0.01m,PS4,27th Jul 18  ,Shooter
307, Mothergunship,0.01m,XOne,24th Aug 18  ,Shooter
308, Mothergunship,0.01m,PS4,24th Aug 18  ,Shooter
309, Gungrave VR,0.01m,PS4,11th Dec 18  ,Shooter
310, Game Tengoku: CruisinMix,0.00m,PS4,30th Nov 17  ,Shooter
311, DOOM VFR,0.00m,PC,01st Dec 17  ,Shooter
312," Warhammer 40,000: Eternal Crusade",0.00m,PC,16th Mar 17  ,Shooter
313, Minecraft,1.89m,NS,21st Jun 18  ,Sandbox
314, Dragon Quest XI: Echoes of an Elusive Age,2.04m,PS4,04th Sep 18  ,Role-Playing
315, Dragon Quest XI,1.82m,3DS,29th Jul 17  ,Role-Playing
316, Persona 5,1.64m,PS4,04th Apr 17  ,Role-Playing
317, Mass Effect: Andromeda,1.49m,PS4,21st Mar 17  ,Role-Playing
318, South Park: The Fractured But Whole,1.43m,PS4,17th Oct 17  ,Role-Playing
319, Fallout 76,1.32m,PS4,14th Nov 18  ,Role-Playing
320, The Elder Scrolls V: Skyrim,1.15m,NS,17th Nov 17  ,Role-Playing
321, Dragon Quest VIII: Journey of the Cursed King,1.15m,3DS,20th Jan 17  ,Role-Playing
322, The Elder Scrolls V: Skyrim VR,1.13m,PS4,17th Nov 17  ,Role-Playing
323, Fallout 76,0.93m,XOne,14th Nov 18  ,Role-Playing
324, Ni no Kuni II: Revenant Kingdom,0.89m,PS4,23rd Mar 18  ,Role-Playing
325, Yokai Watch 3: Sukiyaki,0.81m,3DS,02nd Feb 19  ,Role-Playing
326, Final Fantasy Type-0,0.81m,PSP,31st Dec 20  ,Role-Playing
327, Mass Effect: Andromeda,0.78m,XOne,21st Mar 17  ,Role-Playing
328, Fire Emblem Echoes: Shadows of Valentia,0.75m,3DS,19th May 17  ,Role-Playing
329, Monster Hunter Stories,0.70m,3DS,08th Sep 17  ,Role-Playing
330, Dragon Quest Monsters: Caravan Heart,0.66m,GBA,31st Dec 20  ,Role-Playing
331, Tales of Berseria,0.65m,PS4,24th Jan 17  ,Role-Playing
332, South Park: The Fractured But Whole,0.62m,XOne,17th Oct 17  ,Role-Playing
333, Kingdom Come: Deliverance,0.56m,PS4,13th Feb 18  ,Role-Playing
334, Mario & Luigi Superstar Saga + Bowser's Minions,0.51m,3DS,06th Oct 17  ,Role-Playing
335, Yokai Watch Busters 2: Hihou Densetsu Banbarayaa - Magnum / Sword,0.51m,3DS,16th Dec 17  ,Role-Playing
336, Dark Souls: Remastered,0.49m,PS4,25th May 18  ,Role-Playing
337, Vampyr,0.37m,PS4,05th Jun 18  ,Role-Playing
338, Dark Souls: Remastered,0.33m,NS,19th Oct 18  ,Role-Playing
339, Sword Art Online: Fatal Bullet,0.29m,PS4,23rd Feb 18  ,Role-Playing
340, Ever Oasis,0.29m,3DS,23rd Jun 17  ,Role-Playing
341, Secret of Mana,0.28m,PS4,15th Feb 18  ,Role-Playing
342, Etrian Odyssey V: Beyond the Myth,0.27m,3DS,17th Oct 17  ,Role-Playing
343,  The Snack World: TreJarers,0.27m,3DS,10th Aug 17  ,Role-Playing
344, The World Ends with You: Final Remix,0.27m,NS,12th Oct 18  ,Role-Playing
345, Sword Art Online: Hollow Realization,0.26m,PSV,01st Jan 18  ,Role-Playing
346, Valkyria Chronicles 4,0.25m,PS4,25th Sep 18  ,Role-Playing
347, Persona 5,0.24m,PS3,04th Apr 17  ,Role-Playing
348, .hack//G.U. Last Recode,0.24m,PS4,03rd Nov 17  ,Role-Playing
349, Digimon World: Next Order,0.24m,PS4,31st Jan 17  ,Role-Playing
350, Elex,0.23m,PS4,17th Oct 17  ,Role-Playing
351, Pokémon Gold/Pokémon Silver,0.22m,3DS,22nd Sep 17  ,Role-Playing
352, Dragon Quest Builders: Revive Alefgard,0.22m,NS,09th Feb 18  ,Role-Playing
353, Kingdom Come: Deliverance,0.22m,XOne,13th Feb 18  ,Role-Playing
354, Ys VIII: Lacrimosa of Dana,0.21m,PS4,12th Sep 17  ,Role-Playing
