Rank;Name;Platform;Year;Genre;Publisher;NA_Sales;EU_Sales;JP_Sales;Other_Sales;Global_Sales;viewconut;likecount;commentcount;videotitle;published
1;Wii Sports;Wii;2006.0;Sports;Nintendo;41.49;29.02;3.77;8.46;82.74;45473.0;400.0;79.0;Wii Sports Nintendo Wii Video - Video Review;2011-05-19T07:28:23Z
2;Super Mario Bros.;NES;1985.0;Platform;Nintendo;29.08;3.58;6.81;0.77;40.24;1002608.0;11057.0;1649.0;New Super Mario Bros. U Deluxe Review;2019-01-09T14:00:10Z
3;Mario Kart Wii;Wii;2008.0;Racing;Nintendo;15.85;12.88;3.79;3.31;35.82;241260.0;1487.0;682.0;Mario Kart Wii Review;2008-08-05T21:04:29Z
4;Wii Sports Resort;Wii;2009.0;Sports;Nintendo;15.75;11.01;3.28;2.96;33.0;1532660.0;2514.0;947.0;Wii Sports Resort Review;2009-07-17T01:25:07Z
5;Pokemon Red/Pokemon Blue;GB;1996.0;Role-Playing;Nintendo;11.27;8.89;10.22;1.0;31.37;53235.0;638.0;194.0;Pokemon Red & Blue - IGN Plays;2014-09-23T21:30:02Z
6;Tetris;GB;1989.0;Puzzle;Nintendo;23.2;2.26;4.22;0.58;30.26;258749.0;3341.0;472.0;Tetris Effect Review;2018-11-09T16:00:03Z
7;New Super Mario Bros.;DS;2006.0;Platform;Nintendo;11.38;9.23;6.5;2.9;30.01;1002608.0;11057.0;1649.0;New Super Mario Bros. U Deluxe Review;2019-01-09T14:00:10Z
8;Wii Play;Wii;2006.0;Misc;Nintendo;14.03;9.2;2.93;2.85;29.02;10087.0;77.0;17.0;Wii Play (with Wii Remote) Nintendo Wii Review - Video;2011-06-23T10:02:30Z
9;New Super Mario Bros. Wii;Wii;2009.0;Platform;Nintendo;14.59;7.06;4.7;2.26;28.62;1993264.0;2509.0;1675.0;New Super Mario Review;2009-11-13T21:23:40Z
10;Duck Hunt;NES;1984.0;Shooter;Nintendo;26.93;0.63;0.28;0.47;28.31;2435.0;18.0;1.0;Duck Hunt Retro Game Gameplay - Gameplay;2011-05-18T17:32:04Z
11;Nintendogs;DS;2005.0;Simulation;Nintendo;9.07;11.0;1.93;2.75;24.76;289303.0;1764.0;579.0;Nintendogs + Cats 3DS Video Review;2011-03-23T20:25:56Z
12;Mario Kart DS;DS;2005.0;Racing;Nintendo;9.81;7.57;4.13;1.92;23.42;187843.0;1011.0;284.0;Mario Kart DS Nintendo DS Review - Video Review;2011-06-23T10:02:30Z
13;Pokemon Gold/Pokemon Silver;GB;1999.0;Role-Playing;Nintendo;9.0;6.18;7.2;0.71;23.1;872057.0;3290.0;2644.0;Pokemon HeartGold and SoulSilver Review;2010-03-13T00:44:44Z
14;Wii Fit;Wii;2007.0;Sports;Nintendo;8.94;8.03;3.6;2.15;22.72;22101.0;172.0;21.0;Wii Fit Nintendo Wii Review - Video Review;2011-06-23T10:02:30Z
15;Wii Fit Plus;Wii;2009.0;Sports;Nintendo;9.09;8.59;2.53;1.79;22.0;1087535.0;2096.0;526.0;Wii Fit Plus Review;2009-10-03T01:39:53Z
16;Kinect Adventures!;X360;2010.0;Misc;Microsoft Game Studios;14.97;4.94;0.24;1.67;21.82;324823.0;444.0;362.0;Kinect Adventures Video Review;2010-11-04T06:33:20Z
17;Grand Theft Auto V;PS3;2013.0;Action;Take-Two Interactive;7.01;9.27;0.97;4.14;21.4;3903632.0;51696.0;14172.0;GTA 5 - Review;2013-09-16T14:26:01Z